"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","AR465","M48","NRS1","P10","R50","V521"
"group_619","","hypothetical protein","2","2","1","1","1495","269","1","","233","233","233","","","NRS1_00589","","R50_00589",""
"group_62","","hypothetical protein","2","2","1","1","1401","254","1","","389","389","389","","","NRS1_00518","","R50_00518",""
"group_620","","hypothetical protein","2","2","1","1","618","2","5","","182","182","182","","","NRS1_02733","","R50_02733",""
"group_622","","hypothetical protein","2","2","1","1","2327","1","293","","116","116","116","","","NRS1_00782","","R50_00782",""
"group_623","","hypothetical protein","2","2","1","1","2337","1","55","","149","149","149","","","NRS1_01461","","R50_01461",""
"group_624","","hypothetical protein","2","2","1","1","2321","1","299","","404","404","404","","","NRS1_00788","","R50_00788",""
"group_625","","hypothetical protein","2","2","1","1","2347","1","63","","404","404","404","","","NRS1_01455","","R50_01455",""
"group_627","","hypothetical protein","2","2","1","1","2349","1","65","","116","116","116","","","NRS1_01453","","R50_01453",""
"group_628","","hypothetical protein","2","2","1","1","2429","1","310","","356","356","356","","","NRS1_01868","","R50_01868",""
"blaI_2","","Penicillinase repressor","2","2","1","1","2639","239","1","","380","380","380","","","NRS1_01937","","R50_01937",""
"group_635","","hypothetical protein","2","2","1","1","361","2","104","","506","506","506","","","NRS1_02685","","R50_02685",""
"group_636","","hypothetical protein","2","2","1","1","359","2","106","","383","383","383","","","NRS1_02687","","R50_02687",""
"group_638","","hypothetical protein","2","2","1","1","3192","15","6","","170","170","170","AR465_00007","","","P10_01302","",""
"group_639","","hypothetical protein","2","2","1","1","3191","15","7","","1016","1016","1016","AR465_00008","","","P10_01301","",""
"group_640","","hypothetical protein","2","2","1","1","3190","15","5","","629","629","629","AR465_00009","","","P10_01300","",""
"group_641","","hypothetical protein","2","2","1","1","3183","15","4","","647","647","647","AR465_00010","","","P10_01299","",""
"group_642","","hypothetical protein","2","2","1","1","3184","15","3","","104","104","104","AR465_00011","","","P10_01298","",""
"group_643","","hypothetical protein","2","2","1","1","3185","15","2","","224","224","224","AR465_00012","","","P10_01297","",""
"group_644","","hypothetical protein","2","2","1","1","3186","15","1","","947","947","947","AR465_00013","","","P10_01296","",""
"group_647","","hypothetical protein","2","2","1","1","3013","117","1","","335","335","335","AR465_00165","","","P10_01144","",""
"group_648","nasF","Uroporphyrinogen-III C-methyltransferase","2","2","1","1","18","86","1","","977","977","977","AR465_00191","","","P10_01119","",""
"group_651","","hypothetical protein","2","2","1","1","108","17","2","","767","767","767","AR465_00263","","","P10_01047","",""
"group_652","","hypothetical protein","2","2","1","1","14","28","3","","419","419","419","AR465_00267","","","P10_01043","",""
"group_653","","hypothetical protein","2","2","1","1","13","28","2","","410","410","410","AR465_00268","","","P10_01042","",""
"group_654","","hypothetical protein","2","2","1","1","12","28","1","","422","422","422","AR465_00269","","","P10_01041","",""
"group_658","","hypothetical protein","2","2","1","1","125","6","8","","1325","1325","1325","AR465_00277","","","P10_01033","",""
"group_659","","putative lipoprotein","2","2","1","1","124","6","2","","794","794","794","AR465_00278","","","P10_01032","",""
"group_660","","putative protein","2","2","1","1","11","6","3","","770","770","770","AR465_00279","","","P10_01031","",""
"group_661","fnbB","Fibronectin-binding protein B","2","2","1","1","7","18","4","","2885","2885","2885","AR465_00294","","","P10_01018","",""
"group_664","pitA","L-methionine sulfoximine/L-methionine sulfone acetyltransferase","2","2","1","1","175","92","1","","491","491","491","AR465_00321","","","P10_00991","",""
"group_667","","hypothetical protein","2","2","1","1","280","75","1","","113","113","113","AR465_00383","","","P10_00928","",""
"group_668","","hypothetical protein","2","2","1","1","221","31","3","","635","635","635","AR465_00388","","","P10_00923","",""
"group_670","clfB","Clumping factor B","2","2","1","1","225","52","1","","2633","2633","2633","AR465_00424","","","P10_00887","",""
"group_673","","hypothetical protein","2","2","1","1","739","37","1","","767","767","767","AR465_00484","","","P10_00827","",""
"group_674","","hypothetical protein","2","2","1","1","687","37","2","","338","338","338","AR465_00485","","","P10_00826","",""
"group_677","","hypothetical protein","2","2","1","1","684","70","1","","569","569","569","AR465_00498","","","P10_00814","",""
"group_678","","hypothetical protein","2","2","1","1","678","127","1","","2318","2318","2318","AR465_00531","","","P10_00781","",""
"group_681","","hypothetical protein","2","2","1","1","805","2","248","","206","206","206","AR465_00536","","","P10_00776","",""
"group_682","","hypothetical protein","2","2","1","1","804","2","249","","773","773","773","AR465_00537","","","P10_00775","",""
"group_683","","hypothetical protein","2","2","1","1","793","2","250","","1262","1262","1262","AR465_00538","","","P10_00774","",""
"ble","","Bleomycin resistance protein","2","2","1","1","794","2","251","","404","404","404","AR465_00539","","","P10_00773","",""
"knt","","Kanamycin nucleotidyltransferase","2","2","1","1","809","2","252","","743","743","743","AR465_00540","","","P10_00772","",""
"group_692","","hypothetical protein","2","2","1","1","664","2","227","","311","311","311","AR465_00562","","","P10_00751","",""
"group_693","","hypothetical protein","2","2","1","1","828","2","226","","92","92","92","AR465_00563","","","P10_00750","",""
"group_694","","hypothetical protein","2","2","1","1","829","2","225","","350","350","350","AR465_00564","","","P10_00749","",""
"group_695","","hypothetical protein","2","2","1","1","830","2","224","","1628","1628","1628","AR465_00565","","","P10_00748","",""
"group_696","","hypothetical protein","2","2","1","1","831","2","223","","1349","1349","1349","AR465_00566","","","P10_00747","",""
"group_697","","hypothetical protein","2","2","1","1","832","2","222","","1793","1793","1793","AR465_00567","","","P10_00746","",""
"group_698","","hypothetical protein","2","2","1","1","833","2","221","","296","296","296","AR465_00568","","","P10_00745","",""
"group_699","","hypothetical protein","2","2","1","1","834","2","220","","1046","1046","1046","AR465_00569","","","P10_00744","",""
"group_7","","IS1182 family transposase ISSau3","2","2","1","1","1986","148","2","","806","806","806","","M48_01678","","","","V521_01728"
"group_700","","IS3 family transposase ISSau4","2","2","1","1","835","2","219","","377","377","377","AR465_00570","","","P10_00743","",""
"group_701","","IS3 family transposase ISSau4","2","2","1","1","836","2","218","","353","353","353","AR465_00571","","","P10_00742","",""
"group_702","","IS3 family transposase ISSau4","2","2","1","1","837","2","217","","314","314","314","AR465_00572","","","P10_00741","",""
"group_703","","hypothetical protein","2","2","1","1","838","2","216","","902","902","902","AR465_00573","","","P10_00740","",""
"kdpE_1","","KDP operon transcriptional regulatory protein KdpE","2","2","1","1","839","2","278","","695","695","695","AR465_00574","","","P10_00739","",""
"kdpA_1","","Potassium-transporting ATPase potassium-binding subunit","2","2","1","1","841","2","280","","1676","1676","1676","AR465_00576","","","P10_00737","",""
"kdpB_1","","Potassium-transporting ATPase ATP-binding subunit","2","2","1","1","842","2","281","","2021","2021","2021","AR465_00577","","","P10_00736","",""
"kdpC_1","","Potassium-transporting ATPase KdpC subunit","2","2","1","1","843","2","282","","557","557","557","AR465_00578","","","P10_00735","",""
"group_708","","hypothetical protein","2","2","1","1","844","2","283","","869","869","869","AR465_00579","","","P10_00734","",""
"group_709","","hypothetical protein","2","2","1","1","845","2","284","","896","896","896","AR465_00580","","","P10_00733","",""
"group_710","","hypothetical protein","2","2","1","1","846","2","285","","149","149","149","AR465_00581","","","P10_00732","",""
"group_711","","hypothetical protein","2","2","1","1","847","2","286","","626","626","626","AR465_00582","","","P10_00731","",""
"group_712","","hypothetical protein","2","2","1","1","848","2","287","","1508","1508","1508","AR465_00583","","","P10_00730","",""
"group_713","","hypothetical protein","2","2","1","1","849","2","288","","1745","1745","1745","AR465_00584","","","P10_00729","",""
"group_718","","hypothetical protein","2","2","1","1","865","83","1","","296","296","296","AR465_00591","","","P10_00722","",""
"group_719","","putative lipoprotein","2","2","1","1","967","12","5","","803","803","803","AR465_00597","","","P10_00715","",""
"group_720","","putative lipoprotein","2","2","1","1","976","12","4","","767","767","767","AR465_00598","","","P10_00714","",""
"group_721","","putative lipoprotein","2","2","1","1","977","12","3","","767","767","767","AR465_00599","","","P10_00713","",""
"group_722","","putative lipoprotein","2","2","1","1","978","12","2","","767","767","767","AR465_00600","","","P10_00712","",""
"group_723","","hypothetical protein","2","2","1","1","869","39","1","","872","872","872","AR465_00606","","","P10_00706","",""
"norG","","HTH-type transcriptional regulator NorG","2","2","1","1","868","39","2","","1328","1328","1328","AR465_00607","","","P10_00705","",""
"group_73","","hypothetical protein","2","2","1","1","1865","1","4","","1595","1883","1739","","M48_00345","","","","V521_00387"
"group_731","","hypothetical protein","2","2","1","1","2811","9","14","","599","599","599","AR465_00693","","","P10_00619","",""
"group_732","","hypothetical protein","2","2","1","1","2810","9","15","","1112","1112","1112","AR465_00694","","","P10_00618","",""
"yknY","","putative ABC transporter ATP-binding protein YknY","2","2","1","1","2809","9","8","","680","680","680","AR465_00695","","","P10_00617","",""
"macB","","Macrolide export ATP-binding/permease protein MacB","2","2","1","1","2808","9","7","","1178","1178","1178","AR465_00696","","","P10_00616","",""
"group_735","","hypothetical protein","2","2","1","1","2807","9","6","","221","221","221","AR465_00697","","","P10_00615","",""
"group_736","","hypothetical protein","2","2","1","1","2814","9","5","","1718","1718","1718","AR465_00698","","","P10_00614","",""
"group_737","","hypothetical protein","2","2","1","1","2815","9","4","","443","443","443","AR465_00699","","","P10_00613","",""
"natA","","ABC transporter ATP-binding protein NatA","2","2","1","1","2816","9","3","","722","722","722","AR465_00700","","","P10_00612","",""
"group_739","","hypothetical protein","2","2","1","1","2817","9","2","","176","176","176","AR465_00701","","","P10_00611","",""
"group_740","","hypothetical protein","2","2","1","1","2818","9","1","","197","197","197","AR465_00702","","","P10_00610","",""
"group_742","","Staphylocoagulase","2","2","1","1","2796","72","1","","1976","1976","1976","AR465_00728","","","P10_00585","",""
"group_746","essC","Type VII secretion system protein EssC","2","2","1","1","2918","13","1","","4439","4439","4439","AR465_00784","","","P10_00529","",""
"esxC","","Type VII secretion system extracellular protein C","2","2","1","1","2919","13","2","","392","392","392","AR465_00785","","","P10_00528","",""
"esxB","","Type VII secretion system extracellular protein B","2","2","1","1","2920","13","9","","314","314","314","AR465_00786","","","P10_00527","",""
"essE","","Type VII secretion system protein EsaE","2","2","1","1","2921","13","8","","677","677","677","AR465_00787","","","P10_00526","",""
"esxD","","Type VII secretion system extracellular protein D","2","2","1","1","2922","13","7","","311","311","311","AR465_00788","","","P10_00525","",""
"essD","","Type VII secretion systems protein EssD","2","2","1","1","2923","13","6","","1853","1853","1853","AR465_00789","","","P10_00524","",""
"group_752","","hypothetical protein","2","2","1","1","2925","13","4","","683","683","683","AR465_00791","","","P10_00522","",""
"group_753","","hypothetical protein","2","2","1","1","2926","13","3","","611","611","611","AR465_00792","","","P10_00521","",""
"group_754","essG_3","Type VII secretion system protein EsaG","2","2","1","1","2780","7","3","","461","461","461","AR465_00796","","","P10_00517","",""
"group_755","essG_5","Type VII secretion system protein EsaG","2","2","1","1","2779","7","2","","500","500","500","AR465_00797","","","P10_00516","",""
"group_756","essG_6","Type VII secretion system protein EsaG","2","2","1","1","2778","7","1","","485","485","485","AR465_00798","","","P10_00515","",""
"group_757","","hypothetical protein","2","2","1","1","2723","91","1","","713","713","713","AR465_00846","","","P10_00468","",""
"group_758","","hypothetical protein","2","2","1","1","586","62","1","","95","95","95","AR465_00872","","","P10_00442","",""
"group_76","","hypothetical protein","2","2","1","1","1753","1","428","","755","1883","1319","","M48_01912","","","","V521_01961"
"group_78","","hypothetical protein","2","2","1","1","1746","1","2","","1823","1823","1823","","M48_01909","","","","V521_00389"
"group_784","ssl1","Staphylococcal superantigen-like 1","2","2","1","1","568","61","1","","680","680","680","AR465_00917","","","P10_00422","",""
"group_785","ssl7_3","Staphylococcal superantigen-like 7","2","2","1","1","557","64","1","","695","695","695","AR465_00921","","","P10_00417","",""
"group_788","ssl5_1","Staphylococcal superantigen-like 5","2","2","1","1","546","20","2","","683","683","683","AR465_00927","","","P10_00411","",""
"group_789","","hypothetical protein","2","2","1","1","547","20","1","","1487","1487","1487","AR465_00928","","","P10_00410","",""
"group_790","lpl2_6","putative lipoprotein","2","2","1","1","548","5","1","","803","803","803","AR465_00930","","","P10_00408","",""
"group_792","","putative protein","2","2","1","1","373","5","3","","788","788","788","AR465_00932","","","P10_00406","",""
"group_793","lpl2_4","putative lipoprotein","2","2","1","1","379","5","19","","785","785","785","AR465_00934","","","P10_00404","",""
"group_794","","putative lipoprotein","2","2","1","1","378","5","20","","782","782","782","AR465_00935","","","P10_00403","",""
"lpl2_4","","putative lipoprotein","2","2","1","1","377","5","21","","794","794","794","AR465_00936","","","P10_00402","",""
"group_796","lpl2_5","putative lipoprotein","2","2","1","1","376","5","22","","800","800","800","AR465_00937","","","P10_00401","",""
"group_797","","putative lipoprotein","2","2","1","1","375","5","23","","782","782","782","AR465_00938","","","P10_00400","",""
"group_798","lpl2_6","putative lipoprotein","2","2","1","1","374","5","24","","815","815","815","AR465_00939","","","P10_00399","",""
"group_801","","hypothetical protein","2","2","1","1","1406","41","2","","1394","1394","1394","AR465_01096","","","P10_00242","",""
"group_802","","hypothetical protein","2","2","1","1","1405","41","1","","632","632","632","AR465_01097","","","P10_00241","",""
"group_803","","hypothetical protein","2","2","1","1","1422","87","1","","632","632","632","AR465_01099","","","P10_00239","",""
"group_83","","hypothetical protein","2","2","1","1","2715","1","388","","1250","1874","1562","","M48_00355","","","","V521_00393"
"group_84","","hypothetical protein","2","2","1","1","1676","1","385","","1196","1874","1535","","M48_01904","","","","V521_01955"
"group_860","","hypothetical protein","2","2","1","1","2494","4","21","","581","581","581","AR465_01532","","","P10_01777","",""
"group_865","","hypothetical protein","2","2","1","1","2503","4","39","","1229","1229","1229","AR465_01539","","","P10_01784","",""
"group_866","","hypothetical protein","2","2","1","1","2504","4","40","","500","500","500","AR465_01540","","","P10_01785","",""
"group_867","","hypothetical protein","2","2","1","1","2505","4","41","","92","92","92","AR465_01541","","","P10_01786","",""
"group_868","","IS3 family transposase ISClsp1","2","2","1","1","2506","4","42","","569","569","569","AR465_01542","","","P10_01787","",""
"group_869","","hypothetical protein","2","2","1","1","2507","4","43","","572","572","572","AR465_01543","","","P10_01788","",""
"group_870","","hypothetical protein","2","2","1","1","2508","4","44","","341","341","341","AR465_01544","","","P10_01789","",""
"group_873","","hypothetical protein","2","2","1","1","1980","100","1","","98","98","98","AR465_01821","","","P10_02064","",""
"group_874","entS","Enterobactin exporter EntS","2","2","1","1","1979","58","1","","1217","1217","1217","AR465_01827","","","P10_02070","",""
"group_875","","hypothetical protein","2","2","1","1","1970","1","202","","896","896","896","AR465_01850","","","P10_02159","",""
"group_876","","hypothetical protein","2","2","1","1","1971","1","201","","254","254","254","AR465_01851","","","P10_02160","",""
"group_877","","hypothetical protein","2","2","1","1","1972","1","200","","956","956","956","AR465_01852","","","P10_02161","",""
"group_880","","hypothetical protein","2","2","1","1","311","29","1","","746","746","746","AR465_01958","","","P10_02266","",""
"group_882","","hypothetical protein","2","2","1","1","3635","10","5","","293","293","293","AR465_02019","","","P10_02327","",""
"group_886","","hypothetical protein","2","2","1","1","328","36","2","","242","242","242","AR465_02179","","","P10_02488","",""
"group_888","","hypothetical protein","2","2","1","1","329","115","1","","116","116","116","AR465_02274","","","P10_02583","",""
"group_889","","hypothetical protein","2","2","1","1","330","78","1","","515","515","515","AR465_02354","","","P10_02663","",""
"group_9","","IS1182 family transposase ISSau3","2","2","1","1","2977","136","3","","344","344","344","","M48_02425","","","","V521_02464"
"group_90","","putative oxidoreductase","2","2","1","1","118","258","1","","227","227","227","","","NRS1_02397","","R50_02397",""
"group_911","","hypothetical protein","2","2","1","1","1809","1","77","","203","203","203","AR465_02455","","","P10_02761","",""
"group_921","","hypothetical protein","2","2","1","1","2341","1","92","","674","674","674","AR465_02469","","","P10_00001","",""
"group_925","","hypothetical protein","2","2","1","1","1735","1","95","","302","302","302","AR465_02475","","","P10_00006","",""
"group_931","","hypothetical protein","2","2","1","1","2959","1","188","","191","191","191","AR465_02484","","","P10_01328","",""
"group_932","","hypothetical protein","2","2","1","1","3220","1","187","","329","329","329","AR465_02485","","","P10_01327","",""
"group_936","","hypothetical protein","2","2","1","1","1629","73","1","","1502","1502","1502","AR465_02524","","","P10_00052","",""
"group_955","","hypothetical protein","2","2","1","1","3201","112","1","","203","203","203","AR465_02722","","","P10_01311","",""
"group_959","","hypothetical protein","2","2","1","1","1018","2","331","","617","617","617","","M48_00042","","","","V521_00083"
"cadC","","Cadmium resistance transcriptional regulatory protein CadC","2","2","1","1","1016","2","329","","365","365","365","","M48_00044","","","","V521_00086"
"group_961","","hypothetical protein","2","2","1","1","1011","2","327","","323","323","323","","M48_00046","","","","V521_00090"
"group_962","","hypothetical protein","2","2","1","1","1010","2","326","","206","206","206","","M48_00047","","","","V521_00091"
"group_963","","hypothetical protein","2","2","1","1","1009","2","325","","521","521","521","","M48_00048","","","","V521_00092"
"group_964","","hypothetical protein","2","2","1","1","1008","2","324","","311","311","311","","M48_00049","","","","V521_00093"
"group_965","","hypothetical protein","2","2","1","1","1007","2","323","","89","89","89","","M48_00050","","","","V521_00094"
"group_966","","hypothetical protein","2","2","1","1","1006","2","322","","350","350","350","","M48_00051","","","","V521_00095"
"group_967","","hypothetical protein","2","2","1","1","1005","2","321","","1628","1628","1628","","M48_00052","","","","V521_00096"
"group_968","","hypothetical protein","2","2","1","1","1004","2","320","","1346","1346","1346","","M48_00053","","","","V521_00097"
"group_969","","hypothetical protein","2","2","1","1","1003","2","319","","275","275","275","","M48_00054","","","","V521_00098"
"group_970","","hypothetical protein","2","2","1","1","1002","2","318","","1787","1787","1787","","M48_00055","","","","V521_00099"
"group_971","","hypothetical protein","2","2","1","1","1001","2","317","","284","284","284","","M48_00056","","","","V521_00100"
"group_972","","hypothetical protein","2","2","1","1","1000","2","316","","1049","1049","1049","","M48_00057","","","","V521_00101"
"group_973","","hypothetical protein","2","2","1","1","998","2","314","","1700","1700","1700","","M48_00059","","","","V521_00103"
"mcrC","","Protein McrC","2","2","1","1","997","2","313","","1040","1040","1040","","M48_00060","","","","V521_00104"
"group_976","","hypothetical protein","2","2","1","1","994","2","304","","971","971","971","","M48_00063","","","","V521_00106"
"group_977","","hypothetical protein","2","2","1","1","993","2","303","","371","371","371","","M48_00064","","","","V521_00107"
"farB_1","","Fatty acid resistance protein FarB","2","2","1","1","992","2","302","","1391","1391","1391","","M48_00065","","","","V521_00108"
"group_979","","hypothetical protein","2","2","1","1","991","2","301","","203","203","203","","M48_00066","","","","V521_00109"
"group_98","","hypothetical protein","2","2","1","1","2729","252","1","","428","428","428","","","NRS1_00286","","R50_00286",""
"group_980","","hypothetical protein","2","2","1","1","990","2","300","","365","365","365","","M48_00067","","","","V521_00110"
"group_981","","hypothetical protein","2","2","1","1","989","2","299","","575","575","575","","M48_00068","","","","V521_00111"
"group_982","","hypothetical protein","2","2","1","1","988","2","298","","473","473","473","","M48_00069","","","","V521_00112"
"group_983","","hypothetical protein","2","2","1","1","986","160","1","","296","296","296","","M48_00071","","","","V521_00114"
"group_984","","putative lipoprotein","2","2","1","1","980","212","1","","770","770","770","","M48_00076","","","","V521_00119"
"group_985","spa","Immunoglobulin G-binding protein A","2","2","1","1","960","218","1","","1280","1280","1280","","M48_00085","","","","V521_00127"
"group_986","","hypothetical protein","2","2","1","1","937","200","1","","665","665","665","","M48_00107","","","","V521_00149"
"group_987","","hypothetical protein","2","2","1","1","912","135","1","","1079","1079","1079","","M48_00129","","","","V521_00172"
"group_988","","hypothetical protein","2","2","1","1","911","135","4","","1394","1394","1394","","M48_00130","","","","V521_00173"
"group_989","dapH_1","2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase","2","2","1","1","910","135","3","","557","557","557","","M48_00131","","","","V521_00174"
"group_990","","hypothetical protein","2","2","1","1","909","135","2","","1238","1238","1238","","M48_00132","","","","V521_00175"
"group_991","","hypothetical protein","2","2","1","1","873","219","1","","203","203","203","","M48_00142","","","","V521_00185"
"group_992","argB","Acetylglutamate kinase","2","2","1","1","883","204","1","","770","770","770","","M48_00154","","","","V521_00197"
"group_993","yecD","Isochorismatase family protein YecD","2","2","1","1","878","196","1","","557","557","557","","M48_00159","","","","V521_00202"
"group_994","","hypothetical protein","2","2","1","1","875","225","1","","134","134","134","","M48_00161","","","","V521_00204"
"group_995","","Staphylocoagulase","2","2","1","1","2845","227","1","","1991","1991","1991","","M48_00196","","","","V521_00236"
"group_996","","hypothetical protein","2","2","1","1","2851","230","1","","671","671","671","","M48_00202","","","","V521_00243"
"group_997","","hypothetical protein","2","2","1","1","2855","142","2","","356","356","356","","M48_00205","","","","V521_00246"
"group_998","","hypothetical protein","2","2","1","1","2856","142","1","","173","173","173","","M48_00206","","","","V521_00247"
"group_100","","hypothetical protein","1","1","1","1","367","5","28","","158","158","158","","M48_00485","","","",""
"group_1000","norB_2","Quinolone resistance protein NorB","1","1","1","1","2793","178","1","","1532","1532","1532","","M48_00241","","","",""
"group_102","","hypothetical protein","1","1","1","1","1713","1","34","","845","845","845","","M48_02073","","","",""
"group_1022","","hypothetical protein","1","1","1","1","1790","1","23","","401","401","401","","M48_01939","","","",""
"group_1023","","hypothetical protein","1","1","1","1","1781","1","332","","401","401","401","","","","","","V521_01988"
"group_1025","","hypothetical protein","1","1","1","1","1791","1","329","","347","347","347","","M48_01938","","","",""
"group_1026","","hypothetical protein","1","1","1","1","1782","1","331","","347","347","347","","","","","","V521_01987"
"group_103","","hypothetical protein","1","1","1","1","1711","1","32","","335","335","335","","M48_02075","","","",""
"group_1049","","hypothetical protein","1","1","1","1","1841","1","398","","173","173","173","","M48_00347","","","",""
"group_1050","","hypothetical protein","1","1","1","1","2711","1","392","","377","377","377","","M48_00351","","","",""
"group_1052","","hypothetical protein","1","1","1","1","1750","1","424","","377","377","377","","","","","","V521_01958"
"group_1053","","hypothetical protein","1","1","1","1","2713","1","390","","218","218","218","","M48_00353","","","",""
"group_106","","hypothetical protein","1","1","1","1","1822","1","480","","152","152","152","","","","P10_01352","",""
"group_107","","hypothetical protein","1","1","1","1","2292","1","129","","152","152","152","","","","P10_02125","",""
"group_1085","","IS256 family transposase IS256","1","1","1","1","1366","3","48","","284","284","284","","M48_00841","","","",""
"group_1086","","IS256 family transposase IS256","1","1","1","1","334","134","1","","284","284","284","","M48_02103","","","",""
"group_1101","","hypothetical protein","1","1","1","1","3632","10","2","","248","248","248","","M48_01299","","","",""
"group_1102","","hypothetical protein","1","1","1","1","314","10","1","","101","101","101","","M48_01300","","","",""
"group_1103","","hypothetical protein","1","1","1","1","315","10","6","","266","266","266","","M48_01301","","","",""
"group_1104","","hypothetical protein","1","1","1","1","316","10","7","","125","125","125","","M48_01302","","","",""
"dnaE_1","","DNA polymerase III subunit alpha","1","1","1","1","2047","233","1","","968","968","968","","","","","","V521_01735"
"group_1134","","hypothetical protein","1","1","1","1","1674","1","422","","299","299","299","","","","","","V521_01956"
"group_1135","","hypothetical protein","1","1","1","1","1757","1","430","","548","548","548","","M48_01916","","","",""
"group_1147","","hypothetical protein","1","1","1","1","1786","1","27","","629","629","629","","M48_01943","","","",""
"group_1158","","hypothetical protein","1","1","1","1","2402","182","1","","260","260","260","","M48_02047","","","",""
"group_1162","","hypothetical protein","1","1","1","1","1717","1","38","","794","794","794","","M48_02069","","","",""
"group_1163","","hypothetical protein","1","1","1","1","1714","1","35","","887","887","887","","M48_02072","","","",""
"group_1164","","hypothetical protein","1","1","1","1","1712","1","33","","182","182","182","","M48_02074","","","",""
"group_1165","","hypothetical protein","1","1","1","1","1709","1","285","","215","215","215","","M48_02077","","","",""
"group_1178","","hypothetical protein","1","1","1","1","1345","134","6","","212","212","212","","M48_02108","","","",""
"group_120","","hypothetical protein","1","1","1","1","1756","1","431","","149","149","149","","M48_01915","","","",""
"isdH_1","","Iron-regulated surface determinant protein H","1","1","1","1","1993","110","1","","509","509","509","","","","P10_01856","",""
"group_125","","ISL3 family transposase IS1181","1","1","1","1","1166","153","1","","344","344","344","","M48_02400","","","",""
"group_127","","hypothetical protein","1","1","1","1","1669","1","97","","161","161","161","","","","P10_01567","",""
"group_128","","hypothetical protein","1","1","1","1","2311","1","148","","161","161","161","","","","P10_02106","",""
"group_130","aldC_1","Alpha-acetolactate decarboxylase","1","1","1","1","3195","206","1","","332","332","332","","M48_02449","","","",""
"group_1327","","Putative aldehyde dehydrogenase","1","1","1","1","1210","213","1","","1340","1340","1340","","M48_02356","","","",""
"hrtA_3","","Putative hemin import ATP-binding protein HrtA","1","1","1","1","3039","189","1","","314","314","314","","M48_02597","","","",""
"group_1330","","hypothetical protein","1","1","1","1","1181","141","3","","110","110","110","","M48_02386","","","",""
"blaI","","Penicillinase repressor","1","1","1","1","3763","129","11","","89","89","89","","M48_02823","","","",""
"group_137","femA_3","Aminoacyltransferase FemA","1","1","1","1","46","226","1","","560","560","560","","","","","","V521_02687"
"group_1381","","hypothetical protein","1","1","1","1","681","152","1","","122","122","122","","M48_02969","","","",""
"group_1382","","IS200/IS605 family transposase ISSep3","1","1","1","1","680","152","2","","365","365","365","","M48_02970","","","",""
"cycA_3","","D-serine/D-alanine/glycine transporter","1","1","1","1","16","220","1","","653","653","653","","","","","","V521_02716"
"mvaS_2","","Hydroxymethylglutaryl-CoA synthase","1","1","1","1","2","217","1","","452","452","452","","M48_02781","","","",""
"group_1482","","hypothetical protein","1","1","1","1","2300","1","137","","365","365","365","","","","P10_02117","",""
"group_1484","","hypothetical protein","1","1","1","1","2298","1","135","","170","170","170","","","","P10_02119","",""
"group_149","","hypothetical protein","1","1","1","1","216","44","1","","242","242","242","","","","P10_00951","",""
"group_1508","","hypothetical protein","1","1","1","1","3007","1","450","","302","302","302","","","","P10_01382","",""
"arcA_1","","Arginine deiminase","1","1","1","1","237","210","1","","557","557","557","","M48_02892","","","",""
"group_1534","xerC_4","Tyrosine recombinase XerC","1","1","1","1","3214","1","181","","1205","1205","1205","","","","P10_01321","",""
"yflS_2","","Putative malate transporter YflS","1","1","1","1","686","101","1","","602","602","602","AR465_00488","","","","",""
"group_1616","ssbA_1","Single-stranded DNA-binding protein A","1","1","1","1","2340","1","93","","428","428","428","","","","P10_00002","",""
"group_1617","ssl4_1","Staphylococcal superantigen-like 4","1","1","1","1","561","23","1","","878","878","878","","","","P10_00419","",""
"group_1618","","hypothetical protein","1","1","1","1","3215","1","182","","614","614","614","","","","P10_01322","",""
"group_1619","","hypothetical protein","1","1","1","1","2260","1","257","","614","614","614","","","","P10_02093","",""
"group_1620","","hypothetical protein","1","1","1","1","3216","1","183","","125","125","125","","","","P10_01323","",""
"group_1621","","hypothetical protein","1","1","1","1","2259","1","256","","125","125","125","","","","P10_02094","",""
"group_1622","","hypothetical protein","1","1","1","1","3217","1","184","","395","395","395","","","","P10_01324","",""
"group_1623","","hypothetical protein","1","1","1","1","3218","1","185","","434","434","434","","","","P10_01325","",""
"group_1624","","hypothetical protein","1","1","1","1","3219","1","186","","470","470","470","","","","P10_01326","",""
"group_1625","","hypothetical protein","1","1","1","1","2956","1","158","","176","176","176","","","","P10_01329","",""
"group_1626","","hypothetical protein","1","1","1","1","2955","1","157","","239","239","239","","","","P10_01330","",""
"group_1627","","hypothetical protein","1","1","1","1","2954","1","156","","215","215","215","","","","P10_01331","",""
"group_1628","","hypothetical protein","1","1","1","1","1906","1","150","","323","323","323","","","","P10_01334","",""
"group_1629","","hypothetical protein","1","1","1","1","2310","1","147","","323","323","323","","","","P10_02107","",""
"group_1630","","hypothetical protein","1","1","1","1","1687","1","41","","362","362","362","","","","P10_01335","",""
"group_1631","","hypothetical protein","1","1","1","1","2309","1","146","","362","362","362","","","","P10_02108","",""
"group_1632","","hypothetical protein","1","1","1","1","1688","1","42","","1166","1166","1166","","","","P10_01336","",""
